"Tanggal,""Terakhir"",""Pembukaan"",""Tertinggi"",""Terendah"",""Vol"",""Perubahan%"""
"27/02/2025,""6485,45"",""6609,89"",""6626,26"",""6443,22"",""15,65B"",""-1,83%"""
"26/02/2025,""6606,18"",""6627,02"",""6682,87"",""6547,24"",""13,52B"",""0,29%"""
"25/02/2025,""6587,09"",""6749,44"",""6772,65"",""6576,97"",""19,42B"",""-2,41%"""
"24/02/2025,""6749,60"",""6801,68"",""6818,79"",""6732,41"",""15,62B"",""-0,78%"""
"21/02/2025,""6803,00"",""6788,90"",""6814,87"",""6758,35"",""13,11B"",""0,22%"""
"20/02/2025,""6788,04"",""6796,67"",""6836,72"",""6755,43"",""16,89B"",""-0,10%"""
"19/02/2025,""6794,87"",""6877,16"",""6886,92"",""6773,91"",""15,99B"",""-1,14%"""
"18/02/2025,""6873,55"",""6847,77"",""6908,70"",""6830,78"",""15,86B"",""0,62%"""
"17/02/2025,""6830,88"",""6663,31"",""6830,88"",""6658,22"",""13,66B"",""2,90%"""
"14/02/2025,""6638,46"",""6640,13"",""6679,40"",""6609,67"",""12,13B"",""0,38%"""
"13/02/2025,""6613,57"",""6637,42"",""6647,10"",""6565,78"",""12,61B"",""-0,48%"""
"12/02/2025,""6645,78"",""6540,95"",""6645,78"",""6537,48"",""14,13B"",""1,74%"""
"11/02/2025,""6531,99"",""6629,81"",""6658,23"",""6500,46"",""14,60B"",""-1,75%"""
"10/02/2025,""6648,14"",""6681,23"",""6713,95"",""6585,98"",""15,35B"",""-1,40%"""
"07/02/2025,""6742,58"",""6758,10"",""6769,78"",""6656,72"",""15,21B"",""-1,93%"""
"06/02/2025,""6875,54"",""7030,19"",""7033,62"",""6830,11"",""17,09B"",""-2,12%"""
"05/02/2025,""7024,23"",""7071,58"",""7079,46"",""7002,52"",""24,71B"",""-0,70%"""
"04/02/2025,""7073,46"",""7051,48"",""7125,94"",""7037,63"",""25,07B"",""0,62%"""
"03/02/2025,""7030,06"",""7087,75"",""7089,70"",""6933,14"",""13,54B"",""-1,11%"""
"31/01/2025,""7109,20"",""7113,58"",""7174,75"",""7095,68"",""12,56B"",""0,50%"""
"30/01/2025,""7073,48"",""7142,79"",""7150,29"",""7042,69"",""15,69B"",""-1,29%"""
"24/01/2025,""7166,06"",""7255,02"",""7261,45"",""7166,06"",""12,22B"",""-0,92%"""
"23/01/2025,""7232,64"",""7275,00"",""7324,63"",""7232,64"",""14,20B"",""-0,34%"""
"22/01/2025,""7257,13"",""7227,02"",""7267,49"",""7223,26"",""14,65B"",""1,05%"""
